objective	family	representation	method	target_offset	target	sigma	metric	mean	std	n	status
jepa	physics	pooled	ridge	40	buoyancy_gradient_energy		test_r2	0.7447446992947743		1	ok
jepa	physics	pooled	ridge	40	buoyancy_gradient_energy		test_pearson_r	0.863042743714534		1	ok
jepa	physics	pooled	ridge	40	buoyancy_gradient_energy		test_mse	749.6378343263386		1	ok
jepa	physics	pooled	ridge	40	buoyancy_gradient_energy		test_log_mse	2.8748514973361052		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_gradient_energy		test_vrmse	0.24040122541730355		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_gradient_energy		test_r2	0.9422072508178588		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_gradient_energy		test_pearson_r	0.9708727338746239		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_gradient_energy		test_mse	169.72666666263146		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_gradient_energy		test_log_mse	2.2297500820029623		1	ok
jepa	physics	pooled	selected	40	buoyancy_gradient_energy		test_vrmse	0.4113838937034365		1	ok
jepa	physics	pooled	selected	40	buoyancy_gradient_energy		test_r2	0.8307632920013996		1	ok
jepa	physics	pooled	selected	40	buoyancy_gradient_energy		test_pearson_r	0.9121408688594878		1	ok
jepa	physics	pooled	selected	40	buoyancy_gradient_energy		test_mse	497.01706065292467		1	ok
jepa	physics	pooled	selected	40	buoyancy_gradient_energy		test_log_mse	2.696371296621168		1	ok
jepa	physics	pooled	mlp	40	buoyancy_laplacian_magnitude		test_vrmse	0.4469949265566632		1	ok
jepa	physics	pooled	mlp	40	buoyancy_laplacian_magnitude		test_r2	0.8001955356326034		1	ok
jepa	physics	pooled	mlp	40	buoyancy_laplacian_magnitude		test_pearson_r	0.897371035232093		1	ok
jepa	physics	pooled	mlp	40	buoyancy_laplacian_magnitude		test_mse	87896.32511830254		1	ok
jepa	physics	pooled	mlp	40	buoyancy_laplacian_magnitude		test_log_mse	4.943970717915572		1	ok
jepa	physics	pooled	ridge	40	buoyancy_laplacian_magnitude		test_vrmse	0.5483924859461137		1	ok
jepa	physics	pooled	ridge	40	buoyancy_laplacian_magnitude		test_r2	0.6992656813578415		1	ok
jepa	physics	pooled	ridge	40	buoyancy_laplacian_magnitude		test_pearson_r	0.8362992905456023		1	ok
jepa	physics	pooled	ridge	40	buoyancy_laplacian_magnitude		test_mse	132296.55067665075		1	ok
jepa	physics	pooled	ridge	40	buoyancy_laplacian_magnitude		test_log_mse	5.121548521121549		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_laplacian_magnitude		test_vrmse	0.2511870941444222		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_laplacian_magnitude		test_r2	0.9369050437352812		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_laplacian_magnitude		test_pearson_r	0.9681889707255601		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_laplacian_magnitude		test_mse	27756.210586822846		1	ok
jepa	physics	pooled	ridge_plus_control	40	buoyancy_laplacian_magnitude		test_log_mse	4.443360173830068		1	ok
jepa	physics	pooled	selected	40	buoyancy_laplacian_magnitude		test_vrmse	0.4469949265566632		1	ok
jepa	physics	pooled	selected	40	buoyancy_laplacian_magnitude		test_r2	0.8001955356326034		1	ok
jepa	physics	pooled	selected	40	buoyancy_laplacian_magnitude		test_pearson_r	0.897371035232093		1	ok
jepa	physics	pooled	selected	40	buoyancy_laplacian_magnitude		test_mse	87896.32511830254		1	ok
jepa	physics	pooled	selected	40	buoyancy_laplacian_magnitude		test_log_mse	4.943970717915572		1	ok
jepa	physics	pooled	mlp	40	convective_flux		test_vrmse	0.2701078045151227		1	ok
jepa	physics	pooled	mlp	40	convective_flux		test_r2	0.9270417739400203		1	ok
jepa	physics	pooled	mlp	40	convective_flux		test_pearson_r	0.9632293150294926		1	ok
jepa	physics	pooled	mlp	40	convective_flux		test_mse	1.254713253337763e-06		1	ok
jepa	physics	pooled	mlp	40	convective_flux		test_log_mse	-5.901455514598947		1	ok
jepa	physics	pooled	ridge	40	convective_flux		test_vrmse	0.30507056341196415		1	ok
jepa	physics	pooled	ridge	40	convective_flux		test_r2	0.9069319513395068		1	ok
jepa	physics	pooled	ridge	40	convective_flux		test_pearson_r	0.9526386982199975		1	ok
jepa	physics	pooled	ridge	40	convective_flux		test_mse	1.6005558306832164e-06		1	ok
jepa	physics	pooled	ridge	40	convective_flux		test_log_mse	-5.795729172169805		1	ok
jepa	physics	pooled	ridge_plus_control	40	convective_flux		test_vrmse	0.2957687195546663		1	ok
jepa	physics	pooled	ridge_plus_control	40	convective_flux		test_r2	0.9125208645329932		1	ok
jepa	physics	pooled	ridge_plus_control	40	convective_flux		test_pearson_r	0.9557043363147624		1	ok
jepa	physics	pooled	ridge_plus_control	40	convective_flux		test_mse	1.5044394112700496e-06		1	ok
jepa	physics	pooled	ridge_plus_control	40	convective_flux		test_log_mse	-5.822625298040842		1	ok
jepa	physics	pooled	selected	40	convective_flux		test_vrmse	0.2701078045151227		1	ok
jepa	physics	pooled	selected	40	convective_flux		test_r2	0.9270417739400203		1	ok
jepa	physics	pooled	selected	40	convective_flux		test_pearson_r	0.9632293150294926		1	ok
jepa	physics	pooled	selected	40	convective_flux		test_mse	1.254713253337763e-06		1	ok
jepa	physics	pooled	selected	40	convective_flux		test_log_mse	-5.901455514598947		1	ok
jepa	physics	pooled	mlp	40	enstrophy		test_vrmse	0.20824763491107798		1	ok
jepa	physics	pooled	mlp	40	enstrophy		test_r2	0.9566329225539424		1	ok
jepa	physics	pooled	mlp	40	enstrophy		test_pearson_r	0.9782608800369842		1	ok
jepa	physics	pooled	mlp	40	enstrophy		test_mse	89.09315620882536		1	ok
jepa	physics	pooled	mlp	40	enstrophy		test_log_mse	1.9498443444981906		1	ok
jepa	physics	pooled	ridge	40	enstrophy		test_vrmse	0.2633037466723371		1	ok
jepa	physics	pooled	ridge	40	enstrophy		test_r2	0.9306711369883097		1	ok
jepa	physics	pooled	ridge	40	enstrophy		test_pearson_r	0.9650571952558972		1	ok
jepa	physics	pooled	ridge	40	enstrophy		test_mse	142.42894808311055		1	ok
jepa	physics	pooled	ridge	40	enstrophy		test_log_mse	2.153598266794291		1	ok
jepa	physics	pooled	ridge_plus_control	40	enstrophy		test_vrmse	0.21785942533842426		1	ok
jepa	physics	pooled	ridge_plus_control	40	enstrophy		test_r2	0.9525372707912115		1	ok
jepa	physics	pooled	ridge_plus_control	40	enstrophy		test_pearson_r	0.9765278229956982		1	ok
jepa	physics	pooled	ridge_plus_control	40	enstrophy		test_mse	97.50724735268454		1	ok
jepa	physics	pooled	ridge_plus_control	40	enstrophy		test_log_mse	1.9890368963991105		1	ok
jepa	physics	pooled	selected	40	enstrophy		test_vrmse	0.20824763491107798		1	ok
jepa	physics	pooled	selected	40	enstrophy		test_r2	0.9566329225539424		1	ok
jepa	physics	pooled	selected	40	enstrophy		test_pearson_r	0.9782608800369842		1	ok
jepa	physics	pooled	selected	40	enstrophy		test_mse	89.09315620882536		1	ok
jepa	physics	pooled	selected	40	enstrophy		test_log_mse	1.9498443444981906		1	ok
jepa	physics	pooled	mlp	40	pressure_gradient_magnitude		test_vrmse	0.11721248406490373		1	ok
jepa	physics	pooled	mlp	40	pressure_gradient_magnitude		test_r2	0.9862612335793347		1	ok
